vid,wer,survival,chars
d32_footer_C4_lowdpi,0.4184,1.0,714
d32_whiteonwhite_C1_noise,0.449,0.378,769
d32_whiteonwhite_C1_rotate,0.1837,0.378,722
d32_whiteonwhite_C1_lowdpi,0.3163,0.378,657
d37_body_C2_noise,0.3485,0.9,1096
d37_body_C2_rotate,0.2197,1.0,1074
d37_body_C2_lowdpi,0.197,1.0,1075
d37_footer_C3_noise,0.3636,0.838,1072
d37_footer_C3_rotate,0.197,1.0,1055
d37_footer_C3_lowdpi,0.197,1.0,1054
d37_whiteonwhite_C6_noise,0.2727,0.441,1020
d37_whiteonwhite_C6_rotate,0.1591,0.441,997
d37_whiteonwhite_C6_lowdpi,0.1364,0.441,998
d42_body_C1_noise,0.369,0.844,1425
d42_body_C1_rotate,0.2139,1.0,1405
d42_body_C1_lowdpi,0.1818,1.0,1409
d42_footer_C2_noise,0.3155,0.946,1461
d42_footer_C2_rotate,0.2193,1.0,1437
d42_footer_C2_lowdpi,0.1925,1.0,1437
d42_whiteonwhite_C5_noise,0.3369,0.458,1380
d42_whiteonwhite_C5_rotate,0.1872,0.5,1360
d42_whiteonwhite_C5_lowdpi,0.1551,0.5,1360
d47_body_C6_noise,0.405,0.847,1008
d47_body_C6_rotate,0.2893,1.0,999
d47_body_C6_lowdpi,0.2562,1.0,1000
d47_footer_C1_noise,0.4215,0.864,1040
d47_footer_C1_rotate,0.2893,1.0,1020
d47_footer_C1_lowdpi,0.2645,1.0,1019
d47_whiteonwhite_C4_noise,0.3636,0.467,979
d47_whiteonwhite_C4_rotate,0.2479,0.449,970
d47_whiteonwhite_C4_lowdpi,0.2149,0.449,970
